n/a;id;#condition;#condition;#name;#desc;category;prerequisite;score id;score max;logic;p1;v1;p2;v2;p2;v2;eol;allow in demo;icon;eol
;Ach_UnlockTr_kni_0;500 Bones with a Sword;Kill 500 Skeletons (with the knight);The Sign of The Hero;"You gain +12% Attack Damage every 3 levels (max +120%).";Knight;;St_KniSkelKills;500;kill_x;persona;pSkel;with_char;Knight;;;0;FALSE;GUI/Interface/Achievements/Icons/TrAtDmgPL_Ico_S;0
;Ach_UnlockTr_kni_1;A red and a blue bat;Defeat the Gargoyles;The Sign of The Chosen One;"When you take damage, become invulnerable for 1 seconds. This effect can't occur more than once every 10 seconds.";Knight;;;;kill_codes;codes;Gargoyle1B, Gargoyle2B;with_char;Knight;;;0;FALSE;GUI/Interface/Achievements/Icons/TrMoreRevival_Ico_S;0
;Ach_UnlockTr_kni_2;A cat dies 9 times;Die 9 times in a row with the Knight.;The Sign of The Cat;"You gain +2 Revivals.";Knight;;St_KniDeathsInRow;9;die_in_row;;;character;Knight;;;0;FALSE;GUI/Interface/Achievements/Icons/TimeHourglass_Ico_S;0
;Ach_UnlockTr_kni_3;Garlic kills Vampires;Defeat the Baron with the Knight;The Sign of The Guardian;"You gain +10 Armor every 3 levels (max +100).";Knight;;;;kill_codes;codes;VampireLordB;with_char;Knight;;;0;FALSE;GUI/Interface/Achievements/Icons/TrArmorPL_Ico_S;0
;Ach_UnlockTr_kni_4;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Knight;;;;win_with_talent;talent;KniAdeptToExpert;with_char;Knight;;;0;FALSE;GUI/Interface/Achievements/Icons/TrMoreAdept_Ico_S;0
;Ach_UnlockTr_kni_5;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Knight;;;;win_with_boon;boon;LightRays;with_char;Knight;;;0;FALSE;GUI/Interface/Achievements/Icons/KniLessNegDur_Ico_S;0
;Ach_UnlockTr_kni_6;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Knight;;St_KniObjInRun;40;x_map_obj_in_run;;;with_char;Knight;;;0;FALSE;GUI/Interface/Achievements/Icons/TrInfinitePull_Ico_S;0
;Ach_UnlockTr_sor_0;2000 Wounds;Deal 2000 damage with the sorc (total);The Sign of Fire;"You gain +8% Spell Damage every 3 levels (max +80%).";Sorceress;;St_SorTotalDmg;100000;total_dmg;;;with_char;Sorceress;;;0;FALSE;GUI/Interface/Achievements/Icons/TrSpDmgPL_Ico_S;0
;Ach_UnlockTr_sor_1;12 Times we meet Skelly;Kill The Skeleton 12 times with the Sorc;The Sign of The Helper;"Your missiles aim towards enemies.";Sorceress;;St_SorSkelKills;33;kill_x;persona;pSkelReve;with_char;Sorceress;;;0;FALSE;GUI/Interface/Achievements/Icons/TrMissilesAim_Ico_S;0
;Ach_UnlockTr_sor_2;Travel back in time twice in a row;Travel back in time twice (win a run using time's travel legendary);The Sign of Timespace;"You have infinite pull range, -1 Dash and -20% Dash Cooldowns.";Sorceress;;;;win_with_talent;talent;SorFireDragon;with_char;Sorceress;;;0;FALSE;GUI/Interface/Achievements/Icons/SorFireDragon_Ico_S;0
