n/a;;;;;;#;#;;;;;eol;;;#;#;eol
;stat;hp;;mvm;;spd;;pow;;%resdiv;;0;arm;;dmgred%;;0
;pass;dark;;base;;dark;;dark;;dark;;0;base;;;;0
;1;0.02;0.03;0;0;0.002;0.002;0.003;0.007;0;0.01;0;2;4;1%;2%;0
;2;0.03;0.07;0;0;0.004;0.004;0.005;0.013;0.01;0.01;0;4;8;2%;3.8%;0
;3;0.05;0.1;0.01;0.01;0.006;0.006;0.008;0.02;0.01;0.02;0;6;12;2.9%;5.7%;0
;4;0.07;0.13;0.01;0.01;0.008;0.008;0.01;0.027;0.01;0.02;0;8;16;3.8%;7.4%;0
;5;0.08;0.17;0.01;0.01;0.01;0.01;0.013;0.033;0.01;0.03;0;10;20;4.8%;9.1%;0
;6;0.1;0.2;0.01;0.01;0.012;0.012;0.015;0.04;0.02;0.03;0;12;24;5.7%;10.7%;0
;7;0.12;0.23;0.01;0.01;0.014;0.014;0.018;0.047;0.02;0.04;0;14;28;6.5%;12.3%;0
;8;0.13;0.27;0.02;0.02;0.016;0.016;0.02;0.053;0.02;0.04;0;16;32;7.4%;13.8%;0
;9;0.15;0.3;0.02;0.02;0.018;0.018;0.023;0.06;0.02;0.05;0;18;36;8.3%;15.3%;0
;10;0.17;0.33;0.02;0.02;0.02;0.02;0.025;0.067;0.03;0.05;0;20;40;9.1%;16.7%;0
;11;0.18;0.37;0.02;0.02;0.022;0.022;0.028;0.073;0.03;0.06;0;22;44;9.9%;18%;0
;12;0.2;0.4;0.02;0.02;0.024;0.024;0.03;0.08;0.03;0.06;0;24;48;10.7%;19.4%;0
;13;0.22;0.43;0.03;0.03;0.026;0.026;0.033;0.087;0.03;0.07;0;26;52;11.5%;20.6%;0
;14;0.23;0.47;0.03;0.03;0.028;0.028;0.035;0.093;0.04;0.07;0;28;56;12.3%;21.9%;0
;15;0.25;0.5;0.03;0.03;0.03;0.03;0.038;0.1;0.04;0.08;0;30;60;13%;23.1%;0
;16;0.27;0.53;0.03;0.03;0.032;0.032;0.04;0.107;0.04;0.08;0;32;64;13.8%;24.2%;0
;17;0.28;0.57;0.03;0.03;0.034;0.034;0.043;0.113;0.04;0.09;0;34;68;14.5%;25.4%;0
;18;0.3;0.6;0.04;0.04;0.036;0.036;0.045;0.12;0.05;0.09;0;36;72;15.3%;26.5%;0
;19;0.32;0.63;0.04;0.04;0.038;0.038;0.048;0.127;0.05;0.1;0;38;76;16%;27.5%;0
;20;0.33;0.67;0.04;0.04;0.04;0.04;0.05;0.133;0.05;0.1;0;40;80;16.7%;28.6%;0
;21;0.35;0.7;0.04;0.04;0.042;0.042;0.053;0.14;0.05;0.11;0;42;84;17.4%;29.6%;0
;22;0.37;0.73;0.04;0.04;0.044;0.044;0.055;0.147;0.06;0.11;0;44;88;18%;30.6%;0
;23;0.38;0.77;0.05;0.05;0.046;0.046;0.058;0.153;0.06;0.12;0;46;92;18.7%;31.5%;0
;24;0.4;0.8;0.05;0.05;0.048;0.048;0.06;0.16;0.06;0.12;0;48;96;19.4%;32.4%;0
;25;0.42;0.83;0.05;0.05;0.05;0.05;0.063;0.167;0.06;0.13;0;50;100;20%;33.3%;0
;26;0.43;0.87;0.05;0.05;0.052;0.052;0.065;0.173;0.07;0.13;0;52;104;20.6%;34.2%;0
;27;0.45;0.9;0.05;0.05;0.054;0.054;0.068;0.18;0.07;0.14;0;54;108;21.3%;35.1%;0
;28;0.47;0.93;0.06;0.06;0.056;0.056;0.07;0.187;0.07;0.14;0;56;112;21.9%;35.9%;0
;29;0.48;0.97;0.06;0.06;0.058;0.058;0.073;0.193;0.07;0.15;0;58;116;22.5%;36.7%;0
;30;0.5;1;0.06;0.06;0.06;0.06;0.075;0.2;0.08;0.15;0;60;120;23.1%;37.5%;0
;31;0.52;1.03;0.06;0.06;0.062;0.062;0.078;0.207;0.08;0.16;0;62;124;23.7%;38.3%;0
;32;0.53;1.07;0.06;0.06;0.064;0.064;0.08;0.213;0.08;0.16;0;64;128;24.2%;39%;0
;33;0.55;1.1;0.07;0.07;0.066;0.066;0.083;0.22;0.08;0.17;0;66;132;24.8%;39.8%;0
;34;0.57;1.13;0.07;0.07;0.068;0.068;0.085;0.227;0.09;0.17;0;68;136;25.4%;40.5%;0
;35;0.58;1.17;0.07;0.07;0.07;0.07;0.088;0.233;0.09;0.18;0;70;140;25.9%;41.2%;0
;36;0.6;1.2;0.07;0.07;0.072;0.072;0.09;0.24;0.09;0.18;0;72;144;26.5%;41.9%;0
;37;0.62;1.23;0.07;0.07;0.074;0.074;0.093;0.247;0.09;0.19;0;74;148;27%;42.5%;0
;38;0.63;1.27;0.08;0.08;0.076;0.076;0.095;0.253;0.1;0.19;0;76;152;27.5%;43.2%;0
;39;0.65;1.3;0.08;0.08;0.078;0.078;0.098;0.26;0.1;0.2;0;78;156;28.1%;43.8%;0
;40;0.67;1.33;0.08;0.08;0.08;0.08;0.1;0.267;0.1;0.21;0;80;160;28.6%;44.4%;0
;41;0.68;1.37;0.08;0.08;0.082;0.082;0.103;0.273;0.11;0.21;0;82;164;29.1%;45.1%;0
;42;0.7;1.4;0.08;0.08;0.084;0.084;0.105;0.28;0.11;0.22;0;84;168;29.6%;45.7%;0
;43;0.72;1.43;0.09;0.09;0.086;0.086;0.108;0.287;0.11;0.22;0;86;172;30.1%;46.2%;0
;44;0.73;1.47;0.09;0.09;0.088;0.088;0.11;0.293;0.11;0.23;0;88;176;30.6%;46.8%;0
;45;0.75;1.5;0.09;0.09;0.09;0.09;0.113;0.3;0.12;0.23;0;90;180;31%;47.4%;0
;46;0.77;1.53;0.09;0.09;0.092;0.092;0.115;0.307;0.12;0.24;0;92;184;31.5%;47.9%;0
;47;0.78;1.57;0.09;0.09;0.094;0.094;0.118;0.313;0.12;0.24;0;94;188;32%;48.5%;0
;48;0.8;1.6;0.1;0.1;0.096;0.096;0.12;0.32;0.12;0.25;0;96;192;32.4%;49%;0
;49;0.82;1.63;0.1;0.1;0.098;0.098;0.123;0.327;0.13;0.25;0;98;196;32.9%;49.5%;0
;50;0.83;1.67;0.1;0.1;0.1;0.1;0.125;0.333;0.13;0.26;0;100;200;33.3%;50%;0
;51;0.85;1.7;0.1;0.1;0.102;0.102;0.128;0.34;0.13;0.26;0;102;204;33.8%;50.5%;0
;52;0.87;1.73;0.1;0.1;0.104;0.104;0.13;0.347;0.13;0.27;0;104;208;34.2%;51%;0
;53;0.88;1.77;0.11;0.11;0.106;0.106;0.133;0.353;0.14;0.27;0;106;212;34.6%;51.5%;0
