n/a;points;brok;comm;rare;epic;myth;immo;#;brok;comm;rare;epic;myth;immo;#;am1;am2;am3;am4;am5;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
;1;0;0;0;0;0;0;0;0;4.545;2.727;3.03;18.462;18.462;0;-0.201;0;0.335;2.01;10.05;0;;d30 / d0;m0;m20;m0;m20;m0;m20;m0;m20;m0;m20;m0;m20;wsd0;;wsd0;;;;;;;;;;;;
;2;0;0;0;0;0;0;0;0;8.333;5;6.122;37.895;37.895;0;-0.404;0;0.673;4.04;20.202;0;;Archer;0.09;#DIV/0!;3.39;0.72;2.07;0.44;11.61;2.42;194.17;40.28;#DIV/0!;#DIV/0!;408;127;4640;6810;;;;;;;;;;;
;3;0;0;0;0;0;0;0;0;11.538;6.923;9.278;58.378;58.378;0;-0.609;0;1.015;6.091;30.457;0;;SkeletonTrash1;0.09;#DIV/0!;3.39;0.72;2.07;0.44;11.61;2.42;194.17;40.28;#DIV/0!;#DIV/0!;408;127;4640;6810;;;;;;;;;;;
;4;0;0;0;0;0;0;0;0;14.286;8.571;12.5;80;80;0;-0.816;0;1.361;8.163;40.816;0;;ArcherE;0.08;#DIV/0!;3.06;0.61;1.87;0.37;10.27;2.05;172.24;34.02;#DIV/0!;#DIV/0!;407;154;5119;9769;;;;;;;;;;;
;5;0;0;0;0;0;0;0;0;16.667;10;15.789;102.857;102.857;0;-1.026;0;1.709;10.256;51.282;0;;FrogKingB;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;0.44;0.44;2.43;2.43;40.5;40.5;#DIV/0!;#DIV/0!;100;100;5336;5336;;;;;;;;;;;
;6;0;0;0;0;0;0;0;0;18.75;11.25;19.149;127.059;127.059;0;-1.237;0;2.062;12.371;61.856;0;;ScarecrowB;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;0.26;0.26;1.45;1.45;24.1;24.1;#DIV/0!;#DIV/0!;100;100;8959;8959;;;;;;;;;;;
;7;0;0;0;0;0;0;0;0;20.588;12.353;22.581;152.727;152.727;0;-1.451;0;2.418;14.508;72.539;0;;LadyB;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;0.1;0.1;0.53;0.53;8.8;8.8;#DIV/0!;#DIV/0!;100;100;24541;24541;;;;;;;;;;;
;8;0;0;0;0;0;0;0;0;22.222;13.333;26.087;180;180;0;-1.667;0;2.778;16.667;83.333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;0;0;0;0;0;0;0;0;23.684;14.211;29.67;209.032;209.032;0;-1.885;0;3.141;18.848;94.241;0;;d0% | d30%;m0;m20;m0;m20;m0;m20;m0;m20;m0;m20;m0;m20;1.1;0.3;6.1;1.5;101.5;24.6;;;;;;;;;
;10;0;0;0;0;0;0;0;0;25;15;33.333;240;240;0;-2.105;0;3.509;21.053;105.263;0;;Archer;73.5%;0%;24.5%;78.6%;1.84%;17.7%;0.18%;2.95%;0.024%;0.71%;0%;0%;;;;;;;;;;;;;;;
