n/a;lvl;req.xp;#req.xpt;#inc.step;#curve;#;#$E$2;#$F$2;#$G$2;#$H$2;#$I$2;#$J$2;#$K$2;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;req.xp
;2;35;35;35;400;;66;90;0.33;0.5;0.6;6;50;;;;;;;;;;;;;;;;;;;;;;;;2;28;;60
;3;90;125;55;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;34;;108
;4;140;265;50;930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;52;;173
;5;180;445;40;985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;56;;277
;6;230;675;50;1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;75;;360
;7;270;945;40;1090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;90;;450
;8;300;1245;30;1140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;100;;518
;9;320;1565;20;1185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;110;;580
;10;332;1897;12;1230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;120;;447
;11;343;2240;11;1270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;120;;314
;12;354;2594;11;1310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;135;;198
;13;363;2957;9;1345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;135;;82
;14;373;3330;10;1380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;150;;-18
;15;381;3711;8;1410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;150;;-134
;16;389;4100;8;1440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;160;;-250
;17;396;4496;7;1468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;220;;-250
;18;404;4900;8;1496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;240;;-250
;19;411;5311;7;1524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;250;;-250
;20;419;5730;8;1552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;260;;-250
;21;427;6157;8;1580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;270;;-250
;22;434;6591;7;1608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;270;;-250
;23;442;7033;8;1636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;280;;-250
;24;449;7482;7;1664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;280;;-250
;25;458;7940;9;1697;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;300;;-250
