;;#Dev Description;Stat Group;Slot;Affix Group;Special;MinRarity;;;;;;;;;;;;#;#;#;#;#;;#;#;#;#;#;#;#;weap1;head1;tors1;hand1;wais1;feet1;ring1;jewl1;amul1;reli1;weap2;head2;tors2;hand2;wais2;feet2;ring2;jewl2;amul2;reli2;weap3;head3;tors3;hand3;wais3;feet3;ring3;jewl3;amul3;reli3;weap4;head4;tors4;hand4;wais4;feet4;ring4;jewl4;amul4;reli4;weap5;head5;tors5;hand5;wais5;feet5;ring5;jewl5;amul5;reli5;#weap;#head;#tors;#hand;#wais;#feet;#ring;#jewl;#amul;#reli;#;#;#;#;#;#;#;#;#;;;;#;;Ability1;;;;;;;;;;;;;;;;;;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability4;;;;;;;;;;;;;;;;;;Ability5;;;;;;;;;;;;;;;;;;Ability6;;;;;;;;;;;;;;;;;;Ability7;;;;;;;;;;;;;;;;Ability8;;;;;;;;;;;;;;;
n/a;code;code;;;;;;gcost;_fvs1;_fvs2;_fvs3;_fvs4;_fvs5;_fval1;_fval2;_fval3;_fval4;_fval5;vpp1;vpp2;vpp3;vpp4;vpp5;fvmin=;base;mult;fvmax;fvmax;fvmax;fvmax;fvmax;40;24;25;30;10;24;20;20;40;40;69;48;50;40;20;48;40;40;80;77;104;72;81;78;33;72;60;60;90;117;145;96;109;88;44;96;72;72;120;144;192;120;135;144;55;120;90;88;150;200;71;59;43;66;41;48;103;96;84;103;tier1;tier2;tier3;tier4;tier5;perc;fmult;base;maxval;statuses;keywords;Show On Comparison;Unequippable;equip_cd;ability_type;e1p1;e1p1v1;e1p2;e1p2v1;e1p3;e1p3v1;e1p4;e1p4v1;e1p5;e1p5v1;e1p6;e1p6v1;e1p7;e1p7v1;e1p8;e1p8v1;eol;st;val;eol;_lvl;1_valR;1_loc;1_st;1_val;1_lvl;1_sca;2_loc;2_st;2_val;2_lvl;2_sca;3_loc;3_st;3_val;3_lvl;3_sca;4_loc;4_st;4_val;4_lvl;4_sca;5_loc;5_st;5_val;5_lvl;5_sca;6_loc;6_st;6_val;6_lvl;6_sca;7_loc;7_st;7_val;7_lvl;7_sca;8_loc;8_st;8_val;8_lvl;8_sca;9_loc;9_st;9_val;9_lvl;9_sca;10_loc;10_st;10_val;10_lvl;10_sca;11_loc;11_st;11_val;11_lvl;11_sca;12_loc;12_st;12_val;12_lvl;12_sca;13_loc;13_st;13_val;13_lvl;13_sca;14_loc;14_st;14_val;14_lvl;14_sca;eol;ability_type;e2p1;e2p1v1;e2p2;e2p2v1;e2p3;e2p3v1;e2p4;e2p4v1;e2p5;e2p5v1;e2p6;e2p6v1;e2p7;e2p7v1;e2p8;e2p8v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;2_loc;2_st;2_val;2_lvl;2_sca;3_loc;3_st;3_val;3_lvl;3_sca;4_loc;4_st;4_val;4_lvl;4_sca;5_loc;5_st;5_val;5_lvl;5_sca;6_loc;6_st;6_val;6_lvl;6_sca;7_loc;7_st;7_val;7_lvl;7_sca;8_loc;8_st;8_val;8_lvl;8_sca;9_loc;9_st;9_val;9_lvl;9_sca;10_loc;10_st;10_val;10_lvl;10_sca;11_loc;11_st;11_val;11_lvl;11_sca;12_loc;12_st;12_val;12_lvl;12_sca;13_loc;13_st;13_val;13_lvl;13_sca;14_loc;14_st;14_val;14_lvl;14_sca;eol;ability_type;e3p1;e3p1v1;e3p2;e3p2v1;e3p3;e3p3v1;e3p4;e3p4v1;e3p5;e3p5v1;e3p6;e3p6v1;e3p7;e3p7v1;e3p8;e3p8v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;2_loc;2_st;2_val;2_lvl;2_sca;3_loc;3_st;3_val;3_lvl;3_sca;4_loc;4_st;4_val;4_lvl;4_sca;5_loc;5_st;5_val;5_lvl;5_sca;6_loc;6_st;6_val;6_lvl;6_sca;7_loc;7_st;7_val;7_lvl;7_sca;8_loc;8_st;8_val;8_lvl;8_sca;eol;ability_type;e4p1;e4p1v1;e4p2;e4p2v1;e4p3;e4p3v1;e4p4;e4p4v1;e4p5;e4p5v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;ability_type;e5p1;e5p1v1;e5p2;e5p2v1;e5p3;e5p3v1;e5p4;e5p4v1;e5p5;e5p5v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;ability_type;e6p1;e6p1v1;e6p2;e6p2v1;e6p3;e6p3v1;e6p4;e6p4v1;e6p5;e6p5v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;ability_type;e7p1;e7p1v1;e7p2;e7p2v1;e7p3;e7p3v1;e7p4;e7p4v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;ability_type;e8p1;e8p1v1;e8p2;e8p2v1;e8p3;e8p3v1;e8p4;e8p4v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol
;a;Armor;P.Item;none;@a;FALSE;brok;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;FALSE;;50;50;100;150;200;250;0;20;50;15;5;15;0;0;0;15;0;40;100;30;10;30;0;0;0;30;0;60;150;45;15;45;0;0;0;45;0;80;200;60;20;60;0;0;0;60;0;100;250;75;25;75;0;0;0;75;0;0.4;1;0.3;0.1;0.3;0;0;0;0.3;120;240;360;480;600;;;;;;;TRUE;FALSE;0;sc;pass;base;stat;arm;group;P;;;;;;;;;;;0;val;1;0;1;1;;val;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;e;Evasion;P.Item;none;@e;FALSE;brok;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;FALSE;;50;50;100;150;200;250;0;0;30;0;5;30;0;0;0;15;0;0;60;0;10;60;0;0;0;30;0;0;90;0;15;90;0;0;0;45;0;0;120;0;20;120;0;0;0;60;0;0;150;0;25;150;0;0;0;75;0;0;0.6;0;0.1;0.6;0;0;0;0.3;80;160;240;320;400;;;;;;;TRUE;FALSE;0;sc;pass;base;stat;eva;group;P;;;;;;;;;;;0;val;1;0;1;1;;val;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;h;Health;P.Item;none;@h;FALSE;brok;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;FALSE;;25;25;50;75;100;125;0;10;25;7;2;7;0;0;0;7;0;20;50;15;5;15;0;0;0;15;0;30;75;22;7;22;0;0;0;22;0;40;100;30;10;30;0;0;0;30;0;50;125;37;12;37;0;0;0;37;0;0.4;1;0.3;0.1;0.3;0;0;0;0.3;58;120;178;240;298;;;;;;;TRUE;FALSE;0;sc;pass;base;stat;hp;group;P;;;;;;;;;;;0;val;1;0;1;1;;val;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;hr;Health Regen;P.Item;none;@hr;FALSE;comm;1.4;10;10;10;10;10;1;1;1;1;1;0.01;0.01;0.01;0.01;0.01;FALSE;;4;40;80;120;160;200;0;0;20;0;0;0;0;0;10;40;0;0;40;0;0;0;0;0;20;80;0;0;70;0;0;0;0;0;30;120;0;0;90;0;0;0;0;0;40;160;0;0;120;0;0;0;0;0;60;200;0;0;0.6;0;0;0;0;0;0.3;1;0.7;1.4;2.2;2.9;3.8;;;;;;;TRUE;FALSE;0;sc;pass;base;stat;hpr;group;P;;;;;;;;;;;0;val;0.1;0;1;0.1;;val;0.1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;hol;Heal on Level;P.Item;none;@hr;FALSE;comm;1.3;3;3;3;3;3;1;1;1;1;1;0.66667;0.66667;0.66667;0.66667;0.66667;FALSE;;15;45;90;135;180;225;0;0;27;0;15;0;0;0;0;45;0;0;57;0;30;0;0;0;0;90;0;0;87;0;48;0;0;0;0;135;0;0;117;0;63;0;0;0;0;180;0;0;144;0;81;0;0;0;0;225;0;0;0.65;0;0.36;0;0;0;0;1;58;118;180;240;300;;;;;;;TRUE;FALSE;0;heal_self_flat;trigger;gain_lvl;;;;;;;;;;;;;;;0;val;2;0;1;2;;val;2;1;0;;cha;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;heal%;Heals Multiplier %;P.Item;none;@heal;FALSE;rare;1;20;25;30;35;40;1;1;1;1;1;0.005;0.004;0.00333;0.00286;0.0025;FALSE;;1;20;50;90;140;200;0;0;20;0;0;0;0;0;0;20;0;0;50;0;0;0;0;0;0;50;0;0;90;0;0;0;0;0;0;90;0;0;140;0;0;0;0;0;0;140;0;0;200;0;0;0;0;0;0;200;0;0;1;0;0;0;0;0;0;1;20%;40%;60%;80%;100%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;hpg;group;P;;;;;;;;;;;0;per;0.1;0;1;0.1;;per;0.1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ls;Lifesteal on Hit (% chance);P.Item;none;@ls;FALSE;comm;1.4;7;7;7;7;7;1;1;1;1;1;0.00143;0.00143;0.00143;0.00143;0.00143;FALSE;;15;105;210;315;420;525;105;0;0;21;0;0;21;21;105;0;210;0;0;42;0;0;42;42;210;0;315;0;0;63;0;0;63;63;315;0;420;0;0;84;0;0;84;84;420;0;525;0;0;105;0;0;105;105;525;0;1;0;0;0.2;0;0;0.2;0.2;1;0;39%;78%;117%;156%;195%;;;;;;;TRUE;FALSE;0;heal_self_flat;trigger;hit_any;;;;;;;;;;;;;;;0;cha;0.01;0;1;0.01;;cha;0.01;1;0;;val;1;0;0;;nth;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;hok;Lifeheal on Attack-Kill (% chance);P.Item;none;@ls;FALSE;comm;1.3;4;4;4;4;4;1;1;1;1;1;0.0025;0.0025;0.0025;0.0025;0.0025;FALSE;;15;60;120;180;240;300;60;0;0;60;0;0;16;16;24;36;120;0;0;120;0;0;36;36;48;72;180;0;0;180;0;0;52;52;72;108;240;0;0;240;0;0;72;72;96;144;300;0;0;300;0;0;88;88;120;180;1;0;0;1;0;0;0.3;0.3;0.4;0.6;53%;108%;161%;216%;269%;;;;;;;TRUE;FALSE;0;heal_self_flat;trigger;nth_exe;;;;;;;;;;;;;;;0;cha;0.01;0;1;0.01;;cha;0.01;1;0;;val;1;0;0;;nth;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;hod;Lifeheal on Enemy Dies (% chance);P.Item;none;@ls;FALSE;comm;1.4;9;9;9;9;9;1;1;1;1;1;0.00111;0.00111;0.00111;0.00111;0.00111;FALSE;;10;90;180;270;360;450;90;90;0;0;0;0;27;27;36;54;180;180;0;0;0;0;54;54;72;108;270;270;0;0;0;0;81;81;108;162;360;360;0;0;0;0;108;108;144;216;450;450;0;0;0;0;135;135;180;270;1;1;0;0;0;0;0.3;0.3;0.4;0.6;36%;72%;108%;144%;180%;;;;;;;TRUE;FALSE;0;heal_self_flat;trigger;death;re_enemy;;;;;;;;;;;;;;0;cha;0.01;0;1;0.01;;cha;0.01;1;0;;val;1;0;0;;nth;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
