n/a;#;#;#;#;#;#;;;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;#;a1%;a2%;a3%;a4%;a5%;a6%;a7%;a8%;a9%;a10%;a11%;a12%;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;eol
;01_01;01_01;???;weapbrok;weap1;Weapon;weap;brok;weap1;12;22;17;22;-5;22;22;22;0;0;0;0;0;0;;weap2;43;66;54.5;66;-11.5;66;66;66;0;0;0;0;0;0;;weap3;115;156;135.5;140.5;-5;125;156;140.5;0;0;0;0;0;0;;weap4;222;274;248;223.5;24.5;200;247;223.5;0;0;0;0;0;0;;weap5;317;368;342.5;272.5;70;252;293;272.5;0;0;0;0;0;0;;weap;1.23;1;0.3;;;;;;;;;;;76.92%;23.08%;';';';';';';';';';';;;;;;;;;;;;0
;02_01;01_02;Head_Armet_01;headbrok;head1;Head;head;brok;head1;7;13;10;0.8;9.2;6;10;8;0;0;0;0;0;0;;head2;26;40;33;1.5;31.5;12;18;15;0;0;0;0;0;0;;head3;69;94;81.5;2.6;78.9;22;30;26;0;0;0;0;0;0;;head4;133;164;148.5;3.9;144.6;35;43;39;0;0;0;0;0;0;;head5;190;221;205.5;4.8;200.7;44;51;47.5;0;0;0;0;0;0;;head;1.17;1;0.2;;;;;;;;;;;83.33%;16.67%;';';';';';';';';';';;;;;;;;;;;;0
;03_01;01_03;Tors_ClothRobe_01;torsbrok;tors1;Torso;tors;brok;tors1;12;22;17;2.8;14.2;10;18;14;0;0;0;0;0;0;;tors2;43;66;54.5;5.3;49.2;21;32;26.5;0;0;0;0;0;0;;tors3;115;156;135.5;77.1;58.4;39;52;45.5;0;0;0;68;68;68;;tors4;222;274;248;92.8;155.2;62;76;69;0;0;0;79;79;79;;tors5;317;368;342.5;196.9;145.6;78;91;84.5;0;0;0;180;180;180;;tors;1.23;1;0.3;;;;;;;;;;;76.92%;23.08%;';';';';';';';';';';;;;;;;;;;;;0
;04_01;01_04;Hand_Cloth_01;handbrok;hand1;Hands;hand;brok;hand1;5;10;7.5;0.6;6.9;2;4;3;0;0;0;0;0;0;;hand2;19;30;24.5;20.7;3.8;5;7;6;15;24;19.5;0;0;0;;hand3;52;70;61;26.5;34.5;8;12;10;21;28;24.5;0;0;0;;hand4;100;123;111.5;33.6;77.9;14;17;15.5;27;34;30.5;0;0;0;;hand5;143;166;154.5;45.7;108.8;17;20;18.5;39;45;42;0;0;0;;hand;1.09;1;0.1;;;;;;;;;;;90.91%;9.09%;';';';';';';';';';';;;;;;;;;;;;0
;05_01;01_05;Wais_Leather_01;waisbrok;wais1;Waist;wais;brok;wais1;3;6;4.5;0.5;4;1;2;1.5;0;0;0;0;0;0;;wais2;11;17;14;1.2;12.8;3;4;3.5;0;0;0;0;0;0;;wais3;29;39;34;1.9;32.1;5;6;5.5;0;0;0;0;0;0;;wais4;56;69;62.5;3;59.5;8;9;8.5;0;0;0;0;0;0;;wais5;79;92;85.5;3.7;81.8;10;11;10.5;0;0;0;0;0;0;;wais;1;1;;;;;;;;;;;;100%;';';';';';';';';';';';;;;;;;;;;;;0
;06_01;01_06;Feet_Cloth_01;feetbrok;feet1;Feet;feet;brok;feet1;5;10;7.5;0.9;6.6;3;6;4.5;0;0;0;0;0;0;;feet2;19;30;24.5;6.2;18.3;7;10;8.5;0;0;0;3;6;4.5;;feet3;52;70;61;16.3;44.7;12;16;14;0;0;0;9;18;13.5;;feet4;100;123;111.5;22.3;89.2;19;24;21.5;0;0;0;12;24;18;;feet5;143;166;154.5;27.7;126.8;24;28;26;0;0;0;15;30;22.5;;feet;1.09;1;0.1;;;;;;;;;;;90.91%;9.09%;';';';';';';';';';';;;;;;;;;;;;0
;07_01;01_07;Ring_Basic_01;ringbrok;ring1;Ring;ring;brok;ring1;4;8;6;0;6;0;0;0;0;0;0;0;0;0;;ring2;15;23;19;5.5;13.5;0;0;0;0;0;0;4;7;5.5;;ring3;40;55;47.5;16;31.5;0;0;0;0;0;0;11;21;16;;ring4;78;96;87;21;66;0;0;0;0;0;0;14;28;21;;ring5;111;129;120;26.5;93.5;0;0;0;0;0;0;18;35;26.5;;ring;1.09;1;0.1;;;;;;;;;;;90.91%;9.09%;';';';';';';';';';';;;;;;;;;;;;0
;08_01;01_08;Jewl_BasicRed_01;jewlbrok;jewl1;Jewel;jewl;brok;jewl1;4;8;6;0;6;0;0;0;0;0;0;0;0;0;;jewl2;15;23;19;5.5;13.5;0;0;0;0;0;0;4;7;5.5;;jewl3;40;55;47.5;16;31.5;0;0;0;0;0;0;11;21;16;;jewl4;78;96;87;21;66;0;0;0;0;0;0;14;28;21;;jewl5;111;129;120;26.5;93.5;0;0;0;0;0;0;18;35;26.5;;jewl;1.09;1;0.1;;;;;;;;;;;90.91%;9.09%;';';';';';';';';';';;;;;;;;;;;;0
;09_01;01_09;Amul_Basic_01;amulbrok;amul1;Amulet;amul;brok;amul1;4;8;6;0;6;0;0;0;0;0;0;0;0;0;;amul2;15;23;19;5.5;13.5;0;0;0;0;0;0;4;7;5.5;;amul3;40;55;47.5;16;31.5;0;0;0;0;0;0;11;21;16;;amul4;78;96;87;21;66;0;0;0;0;0;0;14;28;21;;amul5;111;129;120;26.5;93.5;0;0;0;0;0;0;18;35;26.5;;amul;1.09;1;0.1;;;;;;;;;;;90.91%;9.09%;';';';';';';';';';';;;;;;;;;;;;0
;10_01;01_10;Reli_Coral_01;relibrok;reli1;Relic;reli;brok;reli1;6;11;8.5;0;8.5;0;0;0;0;0;0;0;0;0;;reli2;22;33;27.5;4;23.5;0;0;0;0;0;0;3;5;4;;reli3;58;78;68;15;53;0;0;0;0;0;0;10;20;15;;reli4;111;137;124;22;102;0;0;0;0;0;0;15;29;22;;reli5;159;184;171.5;31.5;140;0;0;0;0;0;0;21;42;31.5;;reli;1.17;1;0.2;;;;;;;;;;;83.33%;16.67%;';';';';';';';';';';;;;;;;;;;;;0
