n/a;code;type;class;specific;#desc;minrar;maxrar;ca1;ca1%;ca2;ca2%;ca3;ca3%;ca4;ca4%;eol;fa1;fa2;fa3;fa4;fa5;fa6;fa7;fa8;eol;#sum;bv1%;w1|1;a1|1;w1|2;a1|2;w1|3;a1|3;eol;bv2%;w2|1;a2|1;eol;bv3%;w3|1;a3|1;w3|2;a3|2;w3|3;a3|3;eol;da;#dif;#est;#est;#dps;#dmgr;mind;maxd;#avgd;at;#at%;are;tgt;rng;#rng%;vlc;kbk;pnc;bnc;cnt;ang;pts;eol;invart;envart;picksfx;dropsfx
;Amul_Basic_01;amul;none;none;;brok;immo;;;;;;;;;0;;;;;;;;;0;1;;;;;;;;0;;;;0;1;1;msm%;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_01_Spr;Items/ItemsEnv/Amul_01_Spr;Item_Amulet_Pick;Item_Amulet_Drop
;Amul_Basic_02;amul;none;none;;brok;immo;;;;;;;;;0;;;;;;;;;0;1;;;;;;;;0;;;;0;1;1;msm%;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_02_Spr;Items/ItemsEnv/Amul_01_Spr;Item_Amulet_Pick;Item_Amulet_Drop
;Amul_Basic_03;amul;none;none;;brok;immo;;;;;;;;;0;;;;;;;;;0;1;;;;;;;;0;;;;0;1;1;msm%;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_03_Spr;Items/ItemsEnv/Amul_01_Spr;Item_Amulet_Pick;Item_Amulet_Drop
;Amul_Basic_04;amul;none;none;;brok;immo;;;;;;;;;0;;;;;;;;;0;1;;;;;;;;0;;;;0;1;1;msm%;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_04_Spr;Items/ItemsEnv/Amul_01_Spr;Item_Amulet_Pick;Item_Amulet_Drop
;Amul_Basic_05;amul;none;none;;brok;immo;;;;;;;;;0;;;;;;;;;0;1;;;;;;;;0;;;;0;1;1;msm%;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_05_Spr;Items/ItemsEnv/Amul_01_Spr;Item_Amulet_Pick;Item_Amulet_Drop
;Feet_Cloth_01;feet;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;1.4;0.2;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Cloth_01_Spr;Items/ItemsEnv/Feet_Light_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Cloth_02;feet;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;1.4;0.2;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Cloth_02_Spr;Items/ItemsEnv/Feet_Light_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Cloth_03;feet;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;1.4;0.2;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Cloth_03_Spr;Items/ItemsEnv/Feet_Light_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Cloth_04;feet;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;1.4;0.2;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Cloth_04_Spr;Items/ItemsEnv/Feet_Light_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Sandals_01;feet;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;1.2;0.1;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Sandals_01_Spr;Items/ItemsEnv/Feet_Light_01_Spr;Item_Wood_Pick;Item_Wood_Drop
;Feet_Sandals_02;feet;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;1.2;0.1;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Sandals_02_Spr;Items/ItemsEnv/Feet_Light_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Sandals_03;feet;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;1.6;0.3;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Sandals_03_Spr;Items/ItemsEnv/Feet_Light_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Byzantine_01;feet;medium;none;;comm;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;2.4;0.7;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Byzantine_01_Spr;Items/ItemsEnv/Feet_Medium_01_Spr;Item_Greaves_Pick;Item_Greaves_Drop
;Feet_Leather_01;feet;medium;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;2;0.5;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Leather_01_Spr;Items/ItemsEnv/Feet_Medium_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Leather_02;feet;medium;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;2;0.5;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Leather_02_Spr;Items/ItemsEnv/Feet_Medium_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Leather_03;feet;medium;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;2;0.5;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Leather_03_Spr;Items/ItemsEnv/Feet_Medium_01_Spr;Item_Boots_Pick;Item_Boots_Drop
;Feet_Plate_01;feet;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;3;1;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Plate_01_Spr;Items/ItemsEnv/Feet_Heavy_01_Spr;Item_Greaves_Pick;Item_Greaves_Drop
;Feet_Plate_02;feet;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;3;1;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Plate_02_Spr;Items/ItemsEnv/Feet_Heavy_01_Spr;Item_Greaves_Pick;Item_Greaves_Drop
;Feet_Plate_03;feet;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;3;1;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_Plate_03_Spr;Items/ItemsEnv/Feet_Heavy_01_Spr;Item_Greaves_Pick;Item_Greaves_Drop
;Feet_PlateElven_01;feet;heavy;none;;rare;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2.7;0.85;1;a;;;;;0;;;;0;1;1;ms;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Feet_PlateElven_01_Spr;Items/ItemsEnv/Feet_Heavy_01_Spr;Item_Greaves_Pick;Item_Greaves_Drop
;Hand_Cloth_01;hand;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Cloth_01_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_Cloth_02;hand;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Cloth_02_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_Cloth_03;hand;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Cloth_03_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_Cloth_04;hand;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Cloth_04_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_01;hand;light;none;;epic;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_01_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_02;hand;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.6;0.3;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_02_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_03;hand;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.6;0.3;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_03_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_04;hand;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.6;0.3;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_04_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_05;hand;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.6;0.3;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_05_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_06;hand;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.6;0.3;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_06_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_07;hand;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.6;0.3;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_07_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_ClothElite_08;hand;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.6;0.3;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ClothElite_08_Spr;Items/ItemsEnv/Hand_Light_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_Gauntlets_01;hand;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Gauntlets_01_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_Bronze_01;hand;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Bronze_01_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_ElitePlate_01;hand;heavy;none;;rare;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ElitePlate_01_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_ElitePlate_02;hand;heavy;none;;rare;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ElitePlate_02_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
