n/a;#hour;min;weap;head;tors;hand;wais;feet;ring;jewl;amul;reli;#weap;#head;#tors;#hand;#wais;#feet;#ring;#jewl;#amul;#reli;eol;#brok;#comm;#rare;#epic;#myth;#immo;brok;comm;rare;epic;myth;immo;eol
;0h ;0;10;0;10;10;10;10;0;0;0;0;20%;';20%;20%;20%;20%;';';';';0;71.23%;28.49%;0.07%;0.07%;0.07%;0.07%;1;0.4;0.001;0.001;0.001;0.001;0
;0h 6m;6;10;0;10;10;10;10;0;0;0;0;20%;';20%;20%;20%;20%;';';';';0;44.44%;35.56%;8.89%;4.44%;2.22%;4.44%;1;0.8;0.2;0.1;0.05;0.1;0
;0h 12m;12;10;0;10;10;10;10;5;0;0;0;18.18%;';18.18%;18.18%;18.18%;18.18%;9.09%;';';';0;29.41%;29.41%;17.65%;11.76%;5.88%;5.88%;1;1;0.6;0.4;0.2;0.2;0
;0h 20m;20;10;0;10;10;10;10;10;5;0;0;15.38%;';15.38%;15.38%;15.38%;15.38%;15.38%;7.69%;';';0;22.22%;22.22%;22.22%;15.56%;11.11%;6.67%;1;1;1;0.7;0.5;0.3;0
;0h 30m;30;10;0;10;10;10;10;10;10;0;0;14.29%;';14.29%;14.29%;14.29%;14.29%;14.29%;14.29%;';';0;19.23%;19.23%;19.23%;19.23%;15.38%;7.69%;1;1;1;1;0.8;0.4;0
;0h 45m;45;10;0;10;10;10;10;10;10;5;0;13.33%;';13.33%;13.33%;13.33%;13.33%;13.33%;13.33%;6.67%;';0;18.18%;18.18%;18.18%;18.18%;18.18%;9.09%;1;1;1;1;1;0.5;0
;1h ;60;10;5;10;10;10;10;10;10;10;0;11.76%;5.88%;11.76%;11.76%;11.76%;11.76%;11.76%;11.76%;11.76%;';0;17.86%;17.86%;17.86%;17.86%;17.86%;10.71%;1;1;1;1;1;0.6;0
;1h 20m;80;10;10;10;10;10;10;10;10;10;0;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;';0;17.54%;17.54%;17.54%;17.54%;17.54%;12.28%;1;1;1;1;1;0.7;0
;1h 40m;100;10;10;10;10;10;10;10;10;10;0;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;11.11%;';0;17.24%;17.24%;17.24%;17.24%;17.24%;13.79%;1;1;1;1;1;0.8;0
;2h ;120;10;10;10;10;10;10;10;10;10;5;10.53%;10.53%;10.53%;10.53%;10.53%;10.53%;10.53%;10.53%;10.53%;5.26%;0;16.95%;16.95%;16.95%;16.95%;16.95%;15.25%;1;1;1;1;1;0.9;0
;2h 20m;140;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;2h 40m;160;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;3h ;180;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;3h 20m;200;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;3h 40m;220;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;4h ;240;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;4h 20m;260;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;4h 40m;280;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
;5h ;300;10;10;10;10;10;10;10;10;10;10;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;0;16.67%;16.67%;16.67%;16.67%;16.67%;16.67%;1;1;1;1;1;1;0
