n/a;code;type;class;specific;#set;tier;drop1;drop2;eol;hidden;rarity;#sortC;#sortG;#tvfr;#tvto;#bv1fr;#bv1to;#bv2fr;#bv2to;#bv3fr;#bv3to;#tvsum;#tvdiff;#check;a1;val;#steps;#calc;a2;val;#steps;#calc;a3;val;#steps;#calc;a4;val;#steps;#calc;a5;val;#steps;#calc;a6;val;#steps;#calc;a7;val;#steps;#calc;a8;val;#steps;#calc;a9;val;#steps;#calc;a10;val;#steps;#calc;a11;val;#steps;#calc;eol;base_subtypes;#dif;#est;#est;#dps;#dmgr;mind;maxd;#avgd;at;#at%;are;tgt;rng;#rng%;vlc;kbk;pnc;bnc;cnt;ang;pts;eol;invart;invvariant;envart;envvariant;picksfx;dropsfx;eol
;SnowswatchSnowflake;amul;none;Ranger;none;1;;;0;TRUE;immo;hamunonRan16i;h1amunonRan6i;55;55;0;0;0;0;31;39;60;5;0;SnowswatchSnowflake;60;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Amul_Basic_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchSnowflake_Spr;default;Items/ItemsEnv/SnowswatchSnowflake_01_Spr;default;Item_Ring_Pick;Item_Ring_Drop;0
;SnowswatchSocks;feet;none;Knight;none;1;;;0;TRUE;immo;hfeenonKni16i;h1feenonKni6i;70;70;8;8;0;0;26;33;70;0;0;;;;;;;;;;;;;ms;30;30;30;lck%;40;40;16%;;;;;;;;;;;;;;;;;;;;;;;;;0;Feet_Cloth_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchSocks_Spr;default;Items/ItemsEnv/SnowswatchSocks_01_Spr;default;Item_Armor_Cloth_Pick;Item_Armor_Cloth_Drop;0
;SnowswatchHat;head;none;Assassin;none;1;;;0;TRUE;immo;hheanonAss16i;h1heanonAss6i;95;95;15;15;0;0;0;0;101;6;0;;;;;a;1;1;;;;;;msm%;60;60;7.2%;cr%;40;40;20%;;;;;;;;;;;;;;;;;;;;;;;;;0;Head_Circlet_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchHat_Spr;default;Items/ItemsEnv/SnowswatchHat_01_Spr;default;Item_Armor_Cloth_Pick;Item_Armor_Cloth_Drop;0
;FoodContract;lore;none;;none;1;;;0;TRUE;comm;hlornon12c;h1lornon2c;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_Scroll_01_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;ShrinesOfMusic;lore;none;;none;1;;;0;TRUE;comm;hlornon12c;h1lornon2c;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_Scroll_01_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;SnowswatchNote;lore;none;;none;1;;;0;TRUE;comm;hlornon12c;h1lornon2c;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_Scroll_SnowswatchNote_01_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LustyOrc1;lore;none;;none;1;;;0;TRUE;rare;hlornon13r;h1lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LustyOrc2;lore;none;;none;1;;;0;TRUE;rare;hlornon13r;h1lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LustyOrc3;lore;none;;none;1;;;0;TRUE;rare;hlornon13r;h1lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LibraryNote;lore;none;;none;1;;;0;TRUE;rare;hlornon13r;h1lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_Scroll_01_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;NecromancerDiary1;lore;none;;none;1;;;0;TRUE;epic;hlornon14e;h1lornon4e;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_NecromancerDiary1_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
