n/a;#;code;p;act;tags;size;value;weight;#%;#min;#avg;#max;max;prefab;map icon;type;#loss;#reward;p1;v1;p2;v2;eol
;;shrine_penance;1;t1;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 1/Shrine_Penance/Shrine_Penance_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;xp%;code;shrine_penance;;;0
;;fountain_crying;1;t1;;M;20;8;1.84%;;;;1;Entities/MapObjects/Act 1/Fountain_Crying/Fountain_Crying_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;revival;code;fountain_crying;;;0
;;tree_fruit;1;t1;;M;20;8;1.84%;;;;1;Entities/MapObjects/Act 1/Tree_Fruit/Tree_Fruit_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;hp;lvl;code;tree_fruit;;;0
;;shrine_autumn;1;t1;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 1/Shrine_Autumn/Shrine_Autumn_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;hp;u%;code;shrine_autumn;;;0
;;shrine_spring;1;t1;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 1/Shrine_Spring/Shrine_Spring_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;sdur;hpr;code;shrine_spring;;;0
;;npc_faerie;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Faerie/NPC_Faerie_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;lck;code;npc_faerie;;;0
;;npc_ghost;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Ghost/NPC_Ghost_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;msa%;code;npc_ghost;;;0
;;npc_impess;2;t1;;M;16;4;3.95%;;;;1;Entities/MapObjects/Act 1/NPC_Impess/NPC_Impess_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;i;code;npc_impess;;;0
;;statue_jadellama;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/Statue_JadeLlama/Statue_JadeLlama_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;g;code;statue_jadellama;;;0
;;npc_kobold;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Kobold/NPC_Kobold_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;g%;code;npc_kobold;;;0
;;npc_leprechaun;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Leprechaun/NPC_Leprechaun_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;miremi%;code;npc_leprechaun;;;0
;;npc_rogue;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Rogue/NPC_Rogue_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;dclde;code;npc_rogue;;;0
;;npc_warrior;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Warrior/NPC_Warrior_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;ad%a;code;npc_warrior;;;0
;;npc_wizard;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Wizard/NPC_Wizard_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;sspddsum%;code;npc_wizard;;;0
;;npc_troll;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Troll/NPC_Troll_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;a;code;npc_troll;;;0
;;npc_witch;2;t1;;M;16;8;7.91%;;;;1;Entities/MapObjects/Act 1/NPC_Witch/NPC_Witch_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;curse;boon;code;npc_witch;;;0
;;chest_reliquary;2;t1;;S;16;4;3.95%;;;;x;Entities/MapObjects/Act 1/Chest_Reliquary/Chest_Reliquary_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;igpi;code;chest_reliquary;;;0
;;clovergarden;2;t1;;M;16;7;6.92%;;;;x;Entities/MapObjects/Act 1/CloverGarden/CloverGarden_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;g;i;code;clovergarden;;;0
;;forge;2;t1;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Forge/Forge_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;aad%;code;forge;;;0
;;fountain_sacred;2;t1;;M;16;40;39.53%;;;;x;Entities/MapObjects/Act 1/Fountain_Sacred/Fountain_Sacred_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;heal;code;fountain_sacred;;;0
;;tome_necronomicon;2;t1;;S;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Tome_Necronomicon/Tome_Necronomicon_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;stundmgmon;u%d%dsum%;code;tome_necronomicon;;;0
;;shrine_dragon;2;t1;;L;16;13;12.85%;;;;x;Entities/MapObjects/Act 1/Shrine_Dragon/Shrine_Dragon_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;mse;code;shrine_dragon;;;0
;;shrine_fates;2;t1;;L;16;25;24.71%;;;;x;Entities/MapObjects/Act 1/Shrine_Fates/Shrine_Fates_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;b;code;shrine_fates;;;0
;;shrine_hunting;2;t1;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Shrine_Hunting/Shrine_Hunting_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;dchg;code;shrine_hunting;;;0
