;;#;team;#;#;#;#;#;#;#dmg;#;#;#;#;#;#;#;#;#;#hits;#;#;#;#;#;#;#;#;#;npow1;#npow1;#_tsca;_gro;npow2;#npow2;#_tsca;_gro;npow3;#npow3;#_tsca;_gro;npow4;#npow4;#_tsca;_gro;npow5;#npow5;#_tsca;_gro;#powB;mpow1;#mpow1;#_tsca;_gro;mpow2;#mpow2;#_tsca;_gro;mpow3;#mpow3;#_tsca;_gro;mpow4;#mpow4;#_tsca;_gro;mpow5;#mpow5;#_tsca;_gro;#atB;tim1;#tim1;#_tsca;_gro;tim2;#tim2;#_tsca;_gro;tim3;#tim3;#_tsca;_gro;tim4;#tim4;#_tsca;_gro;tim5;#tim5;#_tsca;_gro;tim2;#tim2;_gro;are;#are;_gro;aicd;#aicd;_gro;min_a;#min_a;_gro;max_a;#max_a;_gro;rng;#rng;_gro;dis;#dis;_gro;aim;#aim;_gro;dur;#dur;_gro;#vlcB;vlc1;#vlc1;#_tsca;_gro;vlc2;#vlc2;#_tsca;_gro;vlc3;#vlc3;#_tsca;_gro;vlc4;#vlc4;#_tsca;_gro;vlc5;#vlc5;#_tsca;_gro;kbk;#kbk;_gro;pnc;#pnc;_gro;bnc;#bnc;_gro;cnt;#cnt;_gro;ang;#ang;_gro;chg;#chg;_gro;col;#col;_gro;rct;#rct;_gro;int;#int;_gro;aipr;#aipr;_gro;st1;#st1;_gro;st2;#st2;_gro;st3;#st3;_gro;tap;#tap;#_gro;Stat Scaling;;;;;;;;;;;;;;;#;ability_type;a1p1;a1p1v1;a1p2;a1p2v1;a1p3;a1p3v1;a1p4;a1p4v1;a1p5;a1p5v1;a1p6;a1p6v1;a1p7;a1p7v1;a1_status;a1_status_val;eol;warning;flash;#base_subtype
n/a;code;#desc;;#type;#elite;#tier;#sort1;#sort2;#sec;0.07;0.1;0.14;0.1;0.21;0.2;0.28;0.3;0.35;0.4;50;50;100;100;200;200;350;350;500;500;powmin;powmax;;;powmin;powmax;;;powmin;powmax;;;powmin;powmax;;;powmin;powmax;;;maxpow;powmin;powmax;;1;powmin;powmax;;1;powmin;powmax;;1;powmin;powmax;;1;powmin;powmax;;1;at;spdmin;spdmax;;;spdmin;spdmax;;;spdmin;spdmax;;;spdmin;spdmax;;;spdmin;spdmax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vlc;vlcmin;vlcmax;;;vlcmin;vlcmax;;;vlcmin;vlcmax;;;vlcmin;vlcmax;;;vlcmin;vlcmax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;npow;mpow;spd;rcs;are;aicd;rng;aim;dur;vlc;kbk;pnc;bnc;cnt;chg;#coll;;;;;;;;;;;;;;;;;;;;;
;Enclosure_Teleport;;enemy;mon_teleport;3;2;32mon_teleport;mon_teleport32;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;2;2;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;mon_teleport;;;;;;;;;;;;;;;;;0;;FALSE;
;NecromancerB_SummonMass1;;enemy;boss_summon;2;1;21boss_summon;boss_summon21;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.57;4;3.2;0;0.25;3.85;3.1;0;0.2425;3.7;3;0;0.235;3.57;2.91;0;0.2285;3.45;2.82;0;0.2225;;;;;;;4;4;0;0;;0;6.5;6.5;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;40;0;;;;;;;;;;;;;;;;;;;80;80;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;boss_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;m0_code;SkeletonNoXp;m0_weight;1;;;;;;;;;;;0;;FALSE;
;NecromancerB_SummonMass2;;enemy;boss_summon;2;1;21boss_summon;boss_summon21;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.57;4;3.2;0;0.25;3.85;3.1;0;0.2425;3.7;3;0;0.235;3.57;2.91;0;0.2285;3.45;2.82;0;0.2225;;;;;;;8;10;0;0;;0;6.5;6.5;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;0;;;;;;;;;;;;;;;;;;;18;18;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;boss_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;m0_code;ArcherNoXp;m0_weight;1;;;;;;;;;;;0;;FALSE;
;NecromancerB_SummonMass3;;enemy;boss_summon;2;1;21boss_summon;boss_summon21;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.57;4;3.2;0;0.25;3.85;3.1;0;0.2425;3.7;3;0;0.235;3.57;2.91;0;0.2285;3.45;2.82;0;0.2225;;;;;;;16;16;0;0;;0;6.5;6.5;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;0;;;;;;;;;;;;;;;;;;;40;40;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;boss_summon;effect;Entities/Monsters/_Shared/_S_SummonInFireGreen_Fab;m0_code;GhostNoXp;m0_weight;1;;;;;;;;;;;0;;FALSE;
;NecromancerB_SummonMass4;;enemy;boss_summon;2;1;21boss_summon;boss_summon21;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.57;4;3.2;0;0.25;3.85;3.1;0;0.2425;3.7;3;0;0.235;3.57;2.91;0;0.2285;3.45;2.82;0;0.2225;;;;;;;30;27;0;0;;0;6.5;6.5;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;;;;;;;;;;;;;;;;;;;6;6;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;boss_summon;effect;Entities/Monsters/_Shared/_S_SummonInFireGreen_Fab;m0_code;SummonerArcherNoXp;m0_weight;1;;;;;;;;;;;0;;FALSE;
;VampireLordB_SummonMass;;enemy;boss_summon;3;1;31boss_summon;boss_summon31;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.2;4;3.2;0;0.25;3.85;3.1;0;0.2425;3.7;3;0;0.235;3.57;2.91;0;0.2285;3.45;2.82;0;0.2225;;;;;;;22;22;0;0;;0;6.5;6.5;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30;0;;;;;;;;;;;;;;;;;;;60;60;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.44;boss_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;m0_code;SkeletonBlood;m0_weight;1;;;;;;;;;;;0;;FALSE;
;Gargoyle_Dash;;enemy;mon_dash;0;1;01mon_dash;mon_dash01;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;1.771;1.55;0;0.14;1.7;1.5;0;0.135;1.64;1.45;0;0.132;1.58;1.4;0;0.129;1.53;1.36;0;0.1265;;;;;;;4.2;2.47;0.7;0;;0;3.8;3.8;0;;;;6;7.4;0.23;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.44;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;Shielder_Dash;;enemy;mon_dash;0;1;01mon_dash;mon_dash01;;4.5;8.6;7.4;15.3;10.3;20.8;27.4;53.2;46.8;86.4;11.1;5.8;13.5;6.5;19.4;9.6;12.8;6.6;10.7;5.8;4.8;9.6;0;1;8.6;17;0;1;13;26;0;1;38;76;0;1;72;144;0;1;;4.8;9.6;0;1;8.6;17;0;1;13;26;0;1;38;76;0;1;72;144;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;0.62;0.36;0.7;0;;0;1;1.84;0.84;;;;1.3;2.4;0.84;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;Shielder_DashLong;;enemy;mon_dash;0;1;01mon_dash;mon_dash01;;4.5;8.6;7.4;15.3;10.3;20.8;27.4;53.2;46.8;86.4;11.1;5.8;13.5;6.5;19.4;9.6;12.8;6.6;10.7;5.8;4.8;9.6;0;1;8.6;17;0;1;13;26;0;1;38;76;0;1;72;144;0;1;;4.8;9.6;0;1;8.6;17;0;1;13;26;0;1;38;76;0;1;72;144;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;2.8;1.65;0.7;0;;0;99;99;0;;;;1.3;2.4;0.84;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
