n/a;#min;sec;pow;minpow;maxpow;at;are;cd;min_a;max_a;rng;aim;dur;vlc;kbk;pnc;cnt;ang;chg;col;int;pre;#;mvm;hp;hpr;%red;%res;kkres;stares;hit;eol;xpdrop;eol;gmin;gmax;eol;brok;comm;rare;epic;myth;immo;eol;#;#chart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:00:00 AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:01:00 AM;60;0;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;;0.09;0.06;0.06;0.09;0.09;0.09;0.09;0.09;0;0.05;0;0.05;0.05;0;0.05;0.05;0.05;0.05;0.05;0.05;0;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:02:00 AM;120;0;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;;0.17;0.22;0.22;0.17;0.17;0.17;0.17;0.17;0;0.1;0;0.1;0.1;0;0.1;0.1;0.1;0.1;0.1;0.1;0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:03:00 AM;180;0;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;;0.24;0.28;0.28;0.24;0.24;0.24;0.24;0.24;0;0.15;0;0.15;0.15;0;0.15;0.15;0.15;0.15;0.15;0.15;0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:04:00 AM;240;0;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;;0.31;0.33;0.33;0.31;0.31;0.31;0.31;0.31;0;0.2;0;0.2;0.2;0;0.2;0.2;0.2;0.2;0.2;0.2;0;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:05:00 AM;300;0;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;;0.37;0.38;0.38;0.37;0.37;0.37;0.37;0.37;0;0.25;0;0.25;0.25;0;0.25;0.25;0.25;0.25;0.25;0.25;0;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:06:00 AM;360;0;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0;0.3;0;0.3;0.3;0;0.3;0.3;0.3;0.3;0.3;0.3;0;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:07:00 AM;420;0;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0;0.35;0;0.35;0.35;0;0.35;0.35;0.35;0.35;0.35;0.35;0;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:08:00 AM;480;0;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0;0.4;0;0.4;0.4;0;0.4;0.4;0.4;0.4;0.4;0.4;0;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:09:00 AM;540;0;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0;0.45;0;0.45;0.45;0;0.45;0.45;0.45;0.45;0.45;0.45;0;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
