n/a;code;t;#isboss;#cnt;#Hor;#Tan;#Ini;#Rng;#DPS;#Nuk;#Con;#Dis;#Sup;#Mob;#Acc;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#;;#;;#;;#;#;;#;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#
;;;;;;;;;;;;;;;;Tank;;TankInitiator;;TankRanged;;TankDPS;;TankNuker;;TankController;;TankDisabler;;TankSupport;;TankMobile;;TankAccumulator;;TankHorde;;Initiator;;InitiatorRanged;;InitiatorDPS;;InitiatorNuker;;InitiatorController;;InitiatorDisabler;;InitiatorSupport;;InitiatorMobile;;InitiatorAccumulator;;InitiatorHorde;;Ranged;;RangedDPS;;RangedNuker;;RangedController;;RangedDisabler;;RangedSupport;;RangedMobile;;RangedAccumulator;;RangedHorde;;DPS;;DPSNuker;;DPSController;;DPSDisabler;;DPSSupport;;DPSMobile;;DPSAccumulator;;DPSHorde;;Nuker;;NukerController;;NukerDisabler;;NukerSupport;;NukerMobile;;NukerAccumulator;;NukerHorde;;Controller;;ControllerDisabler;;ControllerSupport;;ControllerMobile;;ControllerAccumulator;;ControllerHorde;;Disabler;;DisablerSupport;;DisablerMobile;;DisablerAccumulator;;DisablerHorde;;Support;;SupportMobile;;SupportAccumulator;;SupportHorde;;Mobile;;MobileAccumulator;;MobileHorde;;Accumulator;;AccumulatorHorde;;Horde;;;m0_1_SkelTrash;;m1_1_SkelFr;;m4_1_Ooze;;m8_1_SkelFr;;m19_1_SkelFr;;;m12_Thorns;;;NecromancerB;;GargoyleB;;VampireLordB;;MummyB;;InsectQueenB;;DjinnB;;FrogKingB;;ScarecrowB;;LadyB;;;DPS_Check1;;DPS_Check2;
;Archer;1;Minion;20.4;0;0;0;Rng;DPS;0;0;0;0;0;0;3;33.3%;3;50%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;50%;3;33.3%;3;50%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;50%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;3;20%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;1;14.3%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;3;33.3%;3;20%;3;20%;3;20%;3;20%;3;20%;3;33.3%;3;20%;3;20%;3;25%;3;20%;3;33.3%;3;20%;3;20%;3;20%;3;33.3%;3;25%;3;25%;3;50%;3;20%;3;33.3%;2;33.3%;;;;2;100%;;;2;100%;2;100%;;2;100%;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherFire;1;Minion;1.5;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;;;2;16.7%;;;;;;;;;;;;;;;;;;;2;16.7%;;;;;;;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;;;;;;;;;;;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherFrost;1;Minion;3.8;0;0;0;Rng;0;0;0;Dis;0;0;0;;;;;;;;;;;;;2;33.3%;;;;;;;;;;;;;;;;;;;2;25%;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;;;2;25%;;;;;;;;;;;;;2;25%;;;;;;;;;;;2;50%;;;;;;;;;1;25%;1;25%;1;25%;1;25%;1;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherHoming;1;Minion;2.8;0;0;0;Rng;DPS;0;Con;0;0;0;0;;;;;;;2;16.7%;;;2;14.3%;;;;;;;;;;;;;;;2;16.7%;;;2;12.5%;;;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;2;12.5%;;;;;;;;;1;14.3%;;;2;14.3%;;;;;;;;;;;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherLightning;1;Minion;2.4;0;0;0;Rng;0;Nuk;0;0;0;Mob;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;;;;;;;2;6.7%;;;;;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;;;;;;;;;2;8.3%;;;;;;;;;2;6.7%;;;;;;;;;;;;;1;6.7%;1;6.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherPoison;1;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;;;2;16.7%;;;;;;;;;;;;;;;;;;;2;16.7%;;;;;;;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherRapidFire;1;Minion;3.1;0;0;0;Rng;0;Nuk;Con;0;0;0;0;;;;;;;;;;;2;14.3%;;;;;;;;;;;;;;;;;;;2;12.5%;;;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;2;12.5%;;;;;;;;;;;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;;;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherShadow;1;Minion;2.3;0;0;0;Rng;0;0;Con;0;0;0;0;;;;;;;;;;;2;14.3%;;;;;;;;;;;;;;;;;;;2;12.5%;;;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;2;12.5%;;;;;;;;;;;;;2;14.3%;;;;;;;;;;;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherVelocity;1;Minion;2;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;;;;;;;;;;;;;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BlackKnight;1;Minion;15.8;0;Tan;0;0;0;0;0;0;0;0;0;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;50%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;33.3%;3;25%;3;50%;3;20%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;3;50%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;3;33.3%;3;20%;3;20%;3;20%;3;20%;3;20%;3;33.3%;3;20%;3;20%;3;25%;3;20%;3;33.3%;3;20%;3;20%;3;20%;3;33.3%;3;25%;3;25%;3;50%;3;20%;3;33.3%;2;33.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
