n/a;type;is_pos;is_stun;pc_disabled;code;preload;vfx;effect_type;p1;v1;p2;v2;p3;v3;p4;v4;p5;v5;p6;v6;p7;v7;p8;v8;eol;s1;v1;s1s;s2;v2;s2s;s3;v3;s3s;s4;v4;v4s;s4;v4;v4s;s5;v5;v5s;s6;v6;v6s;s7;v7;v7s;s8;v8;v8s;eol;#persec;#persec;#tot;#ability;eol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;FALSE;smite;20;Entities/VFX/Smite/Smite_Fab;smite;code_stun;stunned;;;;;;;;;;;;;;;0;dur;1;1;pow;1;1;minpow;100;1;maxpow;100;1;st1;8;0;;;;;;;;;;;;;0;;;;Deals damage to target and applies ‘stunned’.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;FALSE;smite_immune;;;smite_immune;;;;;;;;;;;;;;;;;0;dur;8;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Deals damage to target and applies ‘stunned’.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;FALSE;pacified;10;Entities/VFX/Pacified/Pacified_Fab;stunned;code_immune;pacified_immune;;;;;;;;;;;;;;;0;dur;1.5;0.33;st1;8;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;FALSE;pacified_immune;;;stun_immune;;;;;;;;;;;;;;;;;0;dur;8;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;FALSE;stunned;20;Entities/VFX/Stunned/Stunned_Fab;stunned;code_immune;stunned_immune;;;;;;;;;;;;;;;0;dur;1.5;0.33;st1;8;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;FALSE;stunned_immune;;;stun_immune;;;;;;;;;;;;;;;;;0;dur;8;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;FALSE;immobilized;10;Entities/VFX/Immobilized/Immobilized_Fab;immobilized;;;;;;;;;;;;;;;;;0;dur;1.5;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;invulnerable;;;invulnerable;;;;;;;;;;;;;;;;;0;dur;1;1;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Takes 0% dmg | regardless of dmg multiplications and such;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;weakened;10;Entities/VFX/Weakened/Weakened_Fab;out_dmg_perc;;;;;;;;;;;;;;;;;0;dur;8;1;per;-0.3;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected deals X% less *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;marked;10;Entities/VFX/Marked/Marked_Fab;inc_dmg_perc;;;;;;;;;;;;;;;;;0;dur;8;1;per;0.3;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected takes X% more *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;burning;40;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;5;1;pow;1;1;minpow;10;1;maxpow;10;1;hpm;0.01;0;int;0.2;0;;;;;;;;;;0;50;5%;250+25%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;inside_fire;;;on_effect_tile;code_status;burning;;;;;;;;;;;;;;;0;dur;9999;0;int;0.6;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected gets a burning status when first applied | then another every AT interval.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;ruptured;40;Entities/VFX/Ruptured/Ruptured_Fab;ruptured;;;;;;;;;;;;;;;;;0;dur;6;1;pow;1;1;minpow;7;1;maxpow;7;1;rng;0.1;0;mul;8;0;;;;;;;;;;0;70;;420+9.6;Affected takes X damage for each 100 range moved | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;chilled;40;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;frozen;;;;;;;;;;;;;;;0;dur;10;1;per;0.1;1;sta;7;1;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;FALSE;frozen;20;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;chill_immune;;;;;;;;;;;;;;;0;dur;3.5;0.33;st1;10;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;FALSE;chill_immune;;;chill_immune;;;;;;;;;;;;;;;;;0;dur;10;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Can't be chilled or frozen.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;inside_frost;;;on_effect_tile;code_status;chilled;;;;;;;;;;;;;;;0;dur;9999;1;int;0.6;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected gets a burning status when first applied | then another every AT interval.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;frostfire;1;Entities/VFX/Frostfire/Frostfire_Fab;burned;;;;;;;;;;;;;;;;;0;dur;5;1;pow;1;1;minpow;4;1;maxpow;4;1;hpm;0.006;0;int;0.2;0;;;;;;;;;;0;20;3%;100+15%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;inside_frostfire;;;on_effect_tile;code_status;frostfire;;;;;;;;;;;;;;;0;dur;9999;1;int;0.6;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected gets a burning status when first applied | then another every AT interval.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;inside_poison;;;on_effect_tile;code_status;poisoned;;;;;;;;;;;;;;;0;dur;9999;1;int;0.6;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected gets a burning status when first applied | then another every AT interval.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;FALSE;feared;10;;feared;code_immune;fear_immune;;;;;;;;;;;;;;;0;dur;2;0.33;per;0.25;1;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected moves away from its fearer at X% speed (stacking increases fear duration and sums speed multipliers additively before applying).;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;FALSE;fear_immune;;;fear_immune;;;;;;;;;;;;;;;;;0;dur;8;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Can't be feared.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;doomed;40;Entities/VFX/Doomed/Doomed_Fab;doomed;;;;;;;;;;;;;;;;;0;dur;1.6;0;pow;1;1.5;minpow;166;1;maxpow;166;1;;;;;;;;;;;;;;;;0;103.75;;166;Affected takes 50 damage after 2.5 seconds. Expiration is not cooldown modifiable. Doomed statuses stack (in damage) and proc with the fastest approaching cooldown expiration.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;FALSE;chrono;;;statm_perc;stat1;mvm;stat2;vlc;stat3;spd;stat4;rot;;;;;;;;;0;dur;0.5;0.5;st1;-0.5;1;st2;-1.2;1;st3;-0.5;1;st4;-1;1;;;;;;;;;;;;;0;;;;(also affects missiles & other such entities) Movement and velocity of affected slowed by X%.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;gemhigh;1;Entities/VFX/GemHigh/GemHigh_Fab;gem_high;stat1;mvm;group1;P;stat2;spd;group2;P.Weapon;stat3;cspd;group3;;max_stacks;100;;;0;dur;1;0;st1;0.004;0;st2;0.008;0;st3;0.008;0;;;;;;;;;;;;;;;;0;;;;(also affects missiles & other such entities) Movement and velocity of affected slowed by X%.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;exalted;1;;statm_tale;stat1;pow;group;Prime;;;;;;;;;;;;;0;dur;10;1;st1;0.5;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;poisoned;1;Entities/VFX/Poisoned/Poisoned_Fab;poison;;;;;;;;;;;;;;;;;0;dur;10;1;pow;1;1;minpow;20;1;maxpow;20;1;hpm;0;0;int;0.2;0;st1;0;1;st2;0;1;cnt;1;1;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;FALSE;seared;1;Entities/VFX/Burning/Burning_Fab;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;enrage;1;Entities/VFX/Enraged/Enraged_Fab;special;;;;;;;;;;;;;;;;;0;dur;9999;1;pow;1;1;minpow;24;1;maxpow;24;1;int;0.2;0;;;;;;;;;;;;;0;120;;1199880+0;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
